date,strategy_return,benchmark_return,strategy_growth,benchmark_growth
2015-01-01,,,1.0,1.0
2015-01-02,0.0014917184690256277,0.0024917184690256278,1.0014917184690257,1.0024917184690256
2015-01-03,-0.10776686435849991,-0.10776686435849991,0.8935640962886132,0.8944563294242547
2015-01-04,-0.0600785299812876,-0.0600785299812876,0.8398800789395356,0.8407187080199872
2015-01-05,0.03890683553533014,0.03890683553533014,0.8725571550402362,0.8734284125243961
2015-01-06,0.04268162514326268,0.04268162514326268,0.9097993124477354,0.9107077566172374
2015-01-07,0.028470732229305185,0.028470732229305185,0.9357019650548408,0.936636273295038
2015-01-08,-0.03733137995621494,-0.03733137995621494,0.9007709194716016,0.9016703486958877
2015-01-09,0.024912706601556422,0.024912706601556422,0.9232115611036118,0.9241333975442714
2015-01-10,-0.05375884988044988,-0.05375884988044988,0.873580769382347,0.8744530489561788
2015-01-11,-0.03324643248414827,-0.03324643248414827,0.8445373253136265,0.8453806047034996
2015-01-12,0.00804030075540374,0.00804030075540374,0.8513276594083122,0.8521777190181008
2015-01-13,-0.1565930750498652,-0.1565930750498652,0.7180156433465603,0.7187325895080764
2015-01-14,-0.001,-0.21144862196566883,0.7172976277032137,0.5667575738947769
2015-01-15,0.0,0.17821708719158869,0.7172976277032137,0.6677634578580756
2015-01-16,0.0,-0.00832520380537527,0.7172976277032137,0.662204190977625
2015-01-17,0.0,-0.042465800131912035,0.7172976277032137,0.6340831601570546
2015-01-18,0.0,0.055600774441382006,0.7172976277032137,0.6693386749220257
2015-01-19,0.0,0.021498570488300173,0.7172976277032137,0.6837284996053823
2015-01-20,0.0,-0.016503647079460393,0.7172976277032137,0.672444485749726
2015-01-21,0.0,0.07373826066486888,0.7172976277032137,0.722029372522593
2015-01-22,0.0,0.028687036825075785,0.7172976277032137,0.742742255720935
2015-01-23,0.0,-0.0022579027249115535,0.7172976277032137,0.7410652159578357
2015-01-24,0.0,0.06427373211222287,0.7172976277032137,0.7886962431259962
2015-01-25,0.0,0.023688009918918063,0.7172976277032137,0.8073788875561781
2015-01-26,0.0,0.07786199419605722,0.7172976277032137,0.8702430178130964
2015-01-27,0.0,-0.03655931713327831,0.7172976277032137,0.8384275273418462
2015-01-28,0.0,-0.11219285371519871,0.7172976277032137,0.7443619504159867
2015-01-29,0.0,-0.001718542245643162,0.7172976277032137,0.7430827329581475
2015-01-30,0.0,-0.03035375941254781,0.7172976277032137,0.7205273784583174
2015-01-31,0.0,-0.03957601154633905,0.7172976277032137,0.6920117786089977
2015-02-01,0.0,0.043722158187070814,0.7172976277032137,0.7222680270606565
2015-02-02,0.0,0.04959644263664864,0.7172976277032137,0.7580899518330557
2015-02-03,0.0,-0.04601034448126973,0.7172976277032137,0.7232099720014277
2015-02-04,0.0,-0.0018260755368718629,0.7172976277032137,0.7218893359635341
2015-02-05,0.0,-0.04294412915336587,0.7172976277032137,0.6908884270854786
2015-02-06,0.0,0.023743680503459652,0.7172976277032137,0.707292661161734
2015-02-07,0.0,0.024691096133746093,0.7172976277032137,0.7247564922531714
2015-02-08,0.0,-0.01906440844572399,0.7172976277032137,0.7109394384611667
2015-02-09,0.0,-0.01477987715627227,0.7172976277032137,0.7004318408951614
2015-02-10,0.0,-0.0012311848303054873,0.7172976277032137,0.6995694798379883
2015-02-11,0.0,-0.0029749359511792584,0.7172976277032137,0.6974883054420705
2015-02-12,0.010766361924821832,0.011766361924821833,0.7250203135708827,0.7056952052822326
2015-02-13,0.0616105135120002,0.0616105135120002,0.7696891873966162,0.7491734492626274
2015-02-14,-0.001,0.09299703207166998,0.7689194982092196,0.8188443565509476
2015-02-15,0.0,-0.08742394206758974,0.7689194982092196,0.7472577549614647
